,artist,mk,position,track,streams,url,id,popularity,followers,genres,,,,,"insert into pais_musica(pais_id, musica_id, posicao, streams) values"
79,AJR,at,82,Weak,3580,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,6s22t5Y3prQHyaHWUN1R1C,78,174882,pop,,,,,"((select id from pais where sigla like 'at'), (select id from musica where nome like 'Weak'), 82, 3580),"
80,AJR,de,86,Weak,59497,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,6s22t5Y3prQHyaHWUN1R1C,78,174882,pop,,,,,"((select id from pais where sigla like 'de'), (select id from musica where nome like 'Weak'), 86, 59497),"
81,AJR,cz,96,Weak,1693,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,6s22t5Y3prQHyaHWUN1R1C,78,174882,pop,,,,,"((select id from pais where sigla like 'cz'), (select id from musica where nome like 'Weak'), 96, 1693),"
82,AJR,us,152,Weak,186974,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,6s22t5Y3prQHyaHWUN1R1C,78,174882,pop,,,,,"((select id from pais where sigla like 'us'), (select id from musica where nome like 'Weak'), 152, 186974),"
83,AK Ausserkontrolle,de,94,Jim Beam & Voddi,56369,https://open.spotify.com/track/34eBseo3rsXhiIWEUcw4ys,07SFzTMeYf5P8Rd32a9Zzw,68,50022,deep german hip hop,,,,,"((select id from pais where sigla like 'de'), (select id from musica where nome like 'Jim Beam & Voddi'), 94, 56369),"
84,Aksel & Hef,no,132,Copacabana,14423,https://open.spotify.com/track/0zZ2YoqtzhDn6GYlUd4WPI,6I7pUQy8jUucWfc6xcT19A,55,4431,"deep pop edm,russelater",,,,,"((select id from pais where sigla like 'no'), (select id from musica where nome like 'Copacabana'), 132, 14423),"
85,Alan Walker,cz,126,Faded,1459,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",,,,,"((select id from pais where sigla like 'cz'), (select id from musica where nome like 'Faded'), 126, 1459),"
86,Alan Walker,no,14,Tired,86064,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",,,,,"((select id from pais where sigla like 'no'), (select id from musica where nome like 'Tired'), 14, 86064),"
87,Alan Walker,tw,71,Faded,5111,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",,,,,"((select id from pais where sigla like 'tw'), (select id from musica where nome like 'Faded'), 71, 5111),"
88,Alan Walker,ch,60,Tired,6472,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",,,,,"((select id from pais where sigla like 'ch'), (select id from musica where nome like 'Tired'), 60, 6472),"
89,Alan Walker,ec,108,Faded,2686,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",,,,,"((select id from pais where sigla like 'ec'), (select id from musica where nome like 'Faded'), 108, 2686),"
90,Alan Walker,se,195,Alone,18939,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",,,,,"((select id from pais where sigla like 'se'), (select id from musica where nome like 'Alone'), 195, 18939),"
91,Alan Walker,at,109,Alone,2722,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",,,,,"((select id from pais where sigla like 'at'), (select id from musica where nome like 'Alone'), 109, 2722),"
